GEOID,prop_white,prop_black_or_african_american,prop_american_indian_and_alaska_native,prop_asian,prop_native_hawaiian_and_other_pacific_islander,prop_some_other_race,prop_multi_racial,prop_latino,land_area_sq_km,pop_density_sq_km,prop_eli,prop_hi,prop_li,prop_mi,prop_vli,prop_college,prop_high_school,prop_less_than_hs,prop_owner,prop_renter,rental_vacancy_rate,owner_vacancy_rate,prop_rural,prop_urban
06071009714,0.48003072196620583,0.07834101382488479,0,0.01971326164874552,0,0,0.04429083461341526,0.3776241679467486,10.116545,386.1001952741771,0,0.7596314907872697,0.0829145728643216,0.11641541038525963,0.04103852596314908,0.23917525773195877,0.6057731958762886,0.1550515463917526,0.7152428810720268,0.2847571189279732,0,0,0.010815307820299502,0.9891846921797005
06071009715,0.5056399132321041,0.0720173535791757,0.009869848156182212,0.01898047722342733,0,0,0.015726681127982648,0.37776572668112796,14.324961,643.6317697479246,0,0.87060041407867494,0.015527950310559006,0.10420979986197378,0.00966183574879227,0.3835594315245478,0.4904715762273902,0.12596899224806202,0.8022774327122153,0.19772256728778467,0,0.01940109658371995,0,1
06071009716,0.44549252122355476,0.12558954318824955,0,0.0060638727934240666,0,0,0.04042581862282711,0.3824282441719445,8.926358,831.3580969976781,0,0.5794581479983826,0.17711281843914276,0.1378892033966842,0.10553983016579054,0.21899736147757257,0.6394818901415208,0.1415207483809067,0.37242215932066314,0.6275778406793369,0.08274231678486997,0.036290322580645164,0.050759965586464006,0.949240034413536
06071009717,0.4966562639322336,0.04837271511368703,0,0.09674543022737406,0.003120820329915292,0,0.008247882300490415,0.3468568880962996,7.777322,576.8052293578689,0,0.8708955223880597,0.04552238805970149,0.06417910447761194,0.019402985074626865,0.29263370332996974,0.574167507568113,0.13319878910191726,0.7955223880597015,0.2044776119402985,0.10163934426229508,0,0,1
06071009800,0.16037187681580475,0.09277551810962618,0.0032926593066046872,0.008134805345729227,0,0,0.017238039899283363,0.7181871005229518,3.351495,1540.5065500619874,0,0.4597471723220226,0.22954091816367264,0.2109115103127079,0.0998003992015968,0.09854964670881368,0.5544812197843064,0.34696913350687986,0.28875582168995345,0.7112441783100466,0.01565377532228361,0.04175365344467641,0,1
06071009904,0.15994457005324192,0.17606301509736708,0.005761797097221209,0.022536649405586754,0,0,0.024797607760192547,0.6108963605863905,8.248939,1662.153156909028,0,0.5260880631203869,0.17688979384067194,0.18936116060066174,0.10766098243827946,0.1763177998472116,0.5946524064171123,0.22902979373567608,0.26749809111733264,0.7325019088826673,0.04935064935064935,0,0,1
06071009905,0.23909249563699825,0.18955564505302724,0,0.05530943750839039,0,0,0.04792589609343536,0.46811652570814877,9.960842,747.8283462381996,0,0.7490059642147118,0.05815109343936382,0.1386679920477137,0.05417495029821073,0.20721987810595405,0.5923581809657759,0.20042194092827004,0.5531809145129225,0.44681908548707755,0,0.1088871096877502,0,1
06071009906,0.23059640522875818,0.1687091503267974,0,0.03676470588235294,0,0.0014297385620915032,0.03574346405228758,0.5267565359477124,2.455795,1993.651750247883,0,0.8534798534798534,0.02564102564102564,0.09010989010989011,0.03076923076923077,0.15865680837954405,0.5862600123228588,0.25508317929759705,0.6051282051282051,0.39487179487179486,0,0.04508670520231214,0,1
06071009908,0.2823856348867037,0.1470713980333476,0,0.029499786233433092,0.0025651988029072254,0,0.019452757588713124,0.5190252244548953,2.233451,2094.5165127867144,0,0.7987987987987988,0.018018018018018018,0.12387387387387387,0.05930930930930931,0.19714070729872085,0.6222723852520692,0.18058690744920994,0.5833333333333334,0.4166666666666667,0.06722689075630252,0,0,1
06071009910,0.22535908865775137,0.12828132738979692,0,0.016014528644543502,0,0,0.0156843321776457,0.6146607231302625,4.387586,1380.4857614186935,0,0.7286713286713287,0.13356643356643358,0.07972027972027972,0.05804195804195804,0.18114602587800369,0.5831792975970426,0.2356746765249538,0.5566433566433566,0.4433566433566434,0.02909647779479326,0.030450669914738125,0,1
06071009911,0.21014076414823327,0.1465096236713588,0.001005458201666188,0.032461936225222636,0,0,0.04668198793450158,0.5632002298190175,4.516596,1541.4263308031093,0,0.7652127086698977,0.11039310716208939,0.05708131394722671,0.06731287022078622,0.22604422604422605,0.557002457002457,0.21695331695331696,0.6408185245018848,0.35918147549811524,0.05524079320113314,0,0,1
06071009912,0.2751882760024425,0.24363932424180745,0,0.026663952778343172,0.0042743741095053935,0.0022389578668837776,0.013230205577040504,0.4347649094239772,2.821704,1741.1464845355856,0,0.4033918837068443,0.14839491217443973,0.2816474863718958,0.1665657177468201,0.16917418923436978,0.5590103644266132,0.27181544633901705,0.3803755299818292,0.6196244700181708,0,0,0,1
06071009913,0.27332975102991225,0.09206519792226402,1.7911517105498835e-4,0.005910800644814616,0,0.004656994447429698,0.03456922801361275,0.5892889127709117,12.394317,450.4483788820312,0,0.5750893921334923,0.22824791418355184,0.10488676996424315,0.09177592371871275,0.1881625441696113,0.556831566548881,0.25500588928150764,0.4690107270560191,0.5309892729439809,0.053134962805526036,0,0,1
06071010004,0.7320677793349472,0.05835138234169958,0.0030577143585170086,0.02522614345776532,0.003949547713084469,0,0,0.1773474327939865,7.028764,1116.6970465931138,0,0.8804622607439508,0.050920910075839654,0.06861682918020946,0,0.40765147354933184,0.5368844956983343,0.05546403075233388,0.7345612134344529,0.26543878656554715,0.0648854961832061,0.04908835904628331,0,1
06071010009,0.3522727272727273,0.07061688311688312,0,0.008658008658008658,0,0,0.031385281385281384,0.5370670995670995,17.28623,213.81180280489153,0,0.7723132969034608,0.07377049180327869,0.1429872495446266,0.01092896174863388,0.2248029863127333,0.5719618415595189,0.20323517212774783,0.7122040072859745,0.2877959927140255,0,0.047503045066991476,0.04072913699800627,0.9592708630019937
06071010010,0.24865337021400494,0.025040034939583636,0,0.019216771000145582,0,0,0.011064201484932305,0.6960256223613335,10.850193,633.076296430856,0,0.7069351230425056,0.10570469798657718,0.09955257270693513,0.0878076062639821,0.12869198312236288,0.6748417721518988,0.1964662447257384,0.6213646532438478,0.3786353467561521,0.045133991537376586,0.019417475728155338,0,1
06071010011,0.21040058801911063,0.08434399117971333,0,0.014516721793458287,0,0.0027563395810363835,0.01782432929070195,0.6701580301359794,5.96274,912.6676662071463,0,0.6277777777777778,0.14097222222222222,0.1763888888888889,0.05486111111111111,0.1155315085932527,0.5693825588796945,0.31508593252705286,0.5298611111111111,0.4701388888888889,0.025899280575539568,0,0,1
06071010012,0.4243627246134559,0.04743000417885499,0,0,0,0,0.009820309235269536,0.5183869619724195,11.511703,415.7508233143263,0,0.7861230329041488,0.059370529327610874,0.11731044349070101,0.03719599427753934,0.15811284666879183,0.6257570927637871,0.2161300605674211,0.7675250357653791,0.23247496423462088,0,0.03507194244604316,0.013532909575558746,0.9864670904244413
