GEOID,median_outage_duration_hr,above_median_cust_affected,prop_white,prop_black_or_african_american,prop_american_indian_and_alaska_native,prop_asian,prop_native_hawaiian_and_other_pacific_islander,prop_some_other_race,prop_multi_racial,prop_latino,pop_density_sq_km,prop_eli,prop_hi,prop_li,prop_mi,prop_vli,prop_college,prop_high_school,prop_less_than_hs,prop_owner,prop_renter,rental_vacancy_rate,owner_vacancy_rate,prop_rural,prop_urban,n_outages_sq_km
06087121500,1.17,0,0.6690889755405884,0.0014179369018078695,0,0,0,0.00620347394540943,0.030840127614321162,0.29244948599787307,3152.208892782436,0,0.6909167367535745,0.042472666105971404,0.13078216989066443,0.13582842724978975,0.48555609051516613,0.3813192103996148,0.13312469908521907,0.37047939444911693,0.6295206055508831,0.02729044834307992,0,0,1,25.70039153987807
06087121600,1.66,0,0.7032229185317815,0.010444643390032825,0.0041778573560131305,0.03282602208296031,0.005968367651447329,0,0.017159056997911072,0.22620113398985378,3266.830121909014,0,0.7516245487364621,0.021299638989169676,0.11768953068592057,0.10938628158844765,0.541359378114411,0.3655571058401435,0.09308351604544549,0.5996389891696751,0.40036101083032494,0.02290748898678414,0,0,1,29.24646483356324
06087121700,1.5,0,0.5918918918918918,0.008243243243243244,0.0017567567567567568,0.052702702702702706,0,0,0.0377027027027027,0.3077027027027027,2802.0570127724577,0,0.7408809359944941,0.06916724019270475,0.1379903647625602,0.05196145905024088,0.4495151169423845,0.45559992393991255,0.09488495911770299,0.5292498279421886,0.47075017205781144,0.07317073170731707,0,0,1,24.234006596950984
06087121800,1.835,0,0.6799217731421121,0.001738374619730552,0,0.03498478922207736,0,0,0.10126032159930465,0.1820947414167753,2473.1152169672255,0,0.8032110091743119,0.007339449541284404,0.06605504587155964,0.12339449541284404,0.47674418604651164,0.4905354245538129,0.032720389399675504,0.47155963302752296,0.5284403669724771,0.025380710659898477,0,0,1,29.019604892705384
06087122001,4.745,1,0.7921279212792128,0.007790077900779008,0.0014350143501435015,0.019065190651906518,0,0,0.03956539565395654,0.14001640016400163,155.42534337355136,0,0.8156146179401993,0.018272425249169437,0.08693244739756367,0.07918050941306755,0.5761684939411426,0.3537218695903058,0.07010963646855164,0.7325581395348837,0.26744186046511625,0.022267206477732792,0,0.12853941739661845,0.8714605826033816,3.0588013456049468
06087122002,6.15,0,0.8985594237695078,0.008703481392557022,0,0.01800720288115246,0,0,0.014405762304921969,0.06032412965186074,64.40602299148117,0,0.8861180382377389,0,0.06733167082294264,0.046550290939318374,0.6930041152263374,0.2868312757201646,0.020164609053497942,0.8711554447215295,0.1288445552784705,0.15228426395939088,0,0.5828605553896685,0.4171394446103314,2.6868058810972033
06087122003,3.33,1,0.7246796196775527,0.010197051123053604,0.004685131597078683,0.03927242662257131,0,0,0.04836709384042993,0.17279867713931377,1308.4150904955552,0,0.7896243291592129,0.014669051878354204,0.09803220035778175,0.09767441860465116,0.5815396548380841,0.37502423889858444,0.043436106263331394,0.7227191413237924,0.2772808586762075,0,0.008345606283750613,0,1,14.604054337899955
06087122100,1.5,0,0.7553889409559512,0.006560449859418931,0,0.033114651671352704,0,0.004061230865354577,0.05123398937831927,0.14964073726960325,1470.722018376444,0,0.7642330877427997,0.012726054922973878,0.11654387139986604,0.10649698593436034,0.532258064516129,0.4400330851943755,0.027708850289495452,0.5766912257200268,0.4233087742799732,0.06950354609929078,0,0,1,20.675567268647296
06087122201,5.16,1,0.8028838778953827,0.02116889093419236,1.5339776039269826e-4,0.034667893848749805,0,0,0.03742905353581838,0.10369688602546402,755.2487704181603,0,0.8643809523809524,0.018285714285714287,0.0739047619047619,0.04342857142857143,0.6981493299298022,0.28547117634545843,0.016379493724739416,0.7573333333333333,0.24266666666666667,0,0.0273972602739726,0.010049449672994098,0.9899505503270059,18.188994777673134
06087122203,5.5,1,0.8316701680672269,0.008140756302521009,0,0.030199579831932773,0,0.0055147058823529415,0.03308823529411765,0.09138655462184873,1535.378623239536,0,0.7891156462585034,0.01422387136672851,0.1360544217687075,0.06060606060606061,0.6787941787941788,0.30145530145530147,0.01975051975051975,0.6431663574520717,0.35683364254792826,0,0.03075489282385834,0,1,14.11193587536338
