GEOID,outage_duration_hr,mean_cust_affected,cust_affected_flag
06077005132,2,1,0
06055201402,2.83,1,0
06013313101,1.33,1,0
06087110400,0.5,1,0
06077003500,1.5,1,0
06081601100,3.83,1,0
06019006404,0.83,1,0
06085504602,0,27,0
06043000101,2.83,1,0
06001451602,1.17,1,0
06029002500,0.84,1,0
06057000102,0.34,1,0
06013345203,3.34,1,0
06041113000,0.34,65,0
06041131100,1.33,48.5,0
06013355107,0.84,1,0
06041113000,0.34,1,0
06041113000,0.34,2,0
06013353001,0.67,1,0
06097153705,1.17,1,0
06041113000,0.17,1,0
06017031402,0.5,1,0
06013367100,0.83,1,0
06017031402,0.5,1,0
06023011600,4.83,1,0
06085503116,4.16,1,0
06019005405,1,1,0
06019007600,0.17,1,0
06001423901,0.17,1,0
06001444602,4.17,1,0
06075017700,0,1,0
06077000300,0,1,0
06041107000,4.17,1,0
06085512510,5,7,0
06039000202,0.17,1,0
06097153706,1,1,0
06029002301,1.17,1,0
06085502302,9.5,1,0
06001409600,0.83,1,0
06077001200,0.17,1,0
06041114200,1.83,1,0
06019005410,0.83,1,0
06085502902,0.66,1,0
06097150901,1.83,1,0
06019004506,0,1,0
06019004506,0,1,0
06019004506,2,1,0
06017031402,0.67,714,1
06081602000,1,1,0
06017031402,0,1,0
06079012505,0,3104,1
06047001602,1.17,1,0
06007002200,2.33,0,0
06085504315,1.33,1,0
06075021800,0.83,1,0
06115040100,0.33,7,0
06081613900,3.5,1,0
06079012900,0,1,0
06079012702,0,1,0
06085506601,1.17,1,0
06019007802,4.83,3.5,0
06001442100,0,1,0
06001442100,0,1,0
06087121600,1.33,1,0
06053011304,7.17,30.5,0
06053011304,0.17,1,0
06053011304,0.17,1,0
06053011304,0.17,1,0
06053011304,0.17,2,0
06053011304,0.17,1,0
06097153003,0.5,1,0
06023010902,2,1,0
06053010400,0.17,1,0
06001442100,10.84,149,1
06047002000,4.67,324.5,1
06113011300,2.17,1,0
06095251000,0.84,1,0
06079010404,14.34,17,0
06081609100,0.84,1,0
06019001800,3.67,1,0
06019004602,2,1,0
06001435601,6,22,0
06087120600,1.83,1,0
06023001000,3.33,1,0
06043000301,2,1,0
06047002000,0,1,0
06007002300,1,64,0
06085506305,1.33,1,0
06029001202,1.17,1,0
06019004100,1.5,16,0
06019006403,2,1,0
06081611600,1,1,0
06033000501,1.33,83,1
06019001100,2.66,1,0
06007002900,1.83,1,0
06097150303,1.16,1,0
06061022013,1.83,15,0
06001441503,3,3,0
06085507904,0.67,1,0
06085512510,5,18.5,0
06077001500,1,5,0
06041126100,1.33,1,0
06081604400,5.17,1.5,0
06087120301,2,1,0
06001435602,5.17,1,0
06113010701,2,1,0
06085503708,9,14,0
06085504601,1.17,7.5,0
06019005100,1.5,1,0
06089012200,1.17,1,0
06033000501,0.67,1,0
06017030602,1.33,1,0
06085507302,1,1,0
06033001000,4.17,32,0
06085506202,3.17,1,0
06081606500,5,1,0
06081612700,3.33,1,0
06095252702,2.5,7,0
06085511704,0.17,1,0
06085503112,7.17,1,0
06085506301,14.84,32,0
06085506301,5.17,45,0
06081606800,4.17,1,0
06085509500,3.67,28,0
06085511702,1.67,1,0
06007000104,0.5,1,0
06039000604,1,1,0
06013365003,1,1,0
06075025500,4,1,0
06083002011,0.33,14,0
06061021401,2.83,1,0
06047000503,0.5,4,0
06083002011,0.33,5,0
06095252401,0,1,0
06083002011,0.17,1,0
06085503708,0.17,87,1
06085503708,1,27,0
06001408800,2,1,0
06085510002,0.33,1,0
06083002011,0,1,0
06029000200,0.83,1,0
06083002011,1.83,35,0
06085504422,6.16,1,0
06001436602,0.67,1,0
06081605500,0.83,1,0
06085503108,0,1,0
06085503115,0,1,0
06085503108,0,1,0
06085503108,4.5,13,0
06013336202,0.83,1,0
06085503108,4.33,2,0
06085503108,11.17,96.5,1
06013365003,2.67,1,0
06047001700,7,8,0
06001423100,0.5,1,0
06053012302,0,1,0
06029000300,1.17,1,0
06095252702,14.67,2,0
06007001200,6.33,64,0
06013346101,0,1,0
06075026301,0.33,1,0
06023010700,0.16,1,0
06013371000,0,1,0
06075061200,6.5,21,0
06053014500,6.84,45,0
06075060700,10.33,5,0
06013371000,0,1,0
06075032901,0.17,1,0
06075061200,6.67,42,0
06081602100,1,1,0
06085503116,2.83,1,0
06083002012,0,1,0
06013370000,0,1,0
06053011502,10.17,23,0
06013372000,0,1,0
06013346102,2.33,33,0
06061021203,4.34,1,0
06077005119,0,29,0
06077005119,0,1,0
06085503708,0,13,0
06001442100,0.5,23.5,0
06085503213,6,1950,1
06079010002,8.17,25,0
06087122003,6.83,90,1
06085506203,1.33,31,0
06087110600,1.33,1,0
06087121800,0,1,0
06019004505,0.5,89,1
06087121800,6.67,9.5,0
06087121800,0.17,1,0
06077000900,3.17,6,0
06077005119,1.84,15,0
06011000300,3.33,6,0
06081610302,4.17,3.5,0
06081610302,0,1,0
06023011500,8.83,20,0
06029003112,0,1,0
06039000400,1.33,1,0
06045011001,8.16,4,0
06077005119,0,1,0
06075026003,1.83,10,0
06095253300,7.16,35,0
06085508401,20.5,1,0
06089012400,7.33,1,0
06013370000,2.33,1,0
06083003102,5.5,1,0
06007002400,6.5,2,0
06097154304,10.17,39,0
06081613600,8.16,1.5,0
06029000908,0.5,1,0
06019006403,0.16,2,0
06061021304,4.17,4,0
06017031504,6,5,0
06053013200,6.5,2,0
06079013000,5.84,38,0
06063000502,4.5,16,0
06013329000,1.01,1,0
06031001200,7.67,2,0
06019006404,0.33,1,0
06029000101,2,1,0
06033000801,3.67,1,0
06019006403,0.84,2,0
06019001303,7.17,34,0
06097152600,4.67,8,0
06057000300,2,3,0
06031000402,2.83,2,0
06029003812,3.5,2,0
06077001000,6.33,102,1
06089012601,4.67,2,0
06019005503,1.67,1,0
06023010102,6.16,21,0
06097154201,3.83,2,0
06029001400,4.33,23,0
06057000802,0.84,1,0
06017030602,2.51,1,0
06013307205,6.17,26,0
06019006202,2.84,1,0
06115041000,1,1,0
06063000400,4.5,145,1
06107000501,2.33,46,0
06075026302,5.33,18,0
06019007700,3.66,2,0
06053012800,2.33,1,0
06097153807,7.5,7,0
06001432100,6,112,1
06017030902,3.5,3,0
06053011400,0.5,1,0
06019001600,1.17,1,0
06019006402,0.5,3,0
06081614000,1.83,1,0
06081606500,0.84,1,0
06097151201,3.67,1,0
06033000600,8.34,140,1
06079010002,0.17,1,0
06089012603,3.67,1,0
06033000701,3.67,1,0
06019006404,1.33,1,0
06019003900,6.83,1,0
06001435104,0,1,0
06013322000,0.5,1,0
06075026302,11,1,0
06029006202,17.33,30.5,0
06057000105,2.17,2,0
06035040100,7.17,7,0
06001435104,0,31,0
06019006404,0.83,2,0
06035040200,1.5,5,0
06079012503,0,1,0
06041124100,5,24,0
06017031406,4.83,1,0
06077005131,3.67,6.5,0
06089012604,0.17,1,0
06055201700,5.33,1,0
06023001101,0.83,8,0
06087122400,0,2,0
06045011102,4.83,32,0
06047000901,0.5,18,0
06087122400,0,1,0
06087122400,2.5,63,0
06087122400,0,1,0
06017031504,0.17,3,0
06001435104,3.66,562,1
06081605900,1.33,1,0
06081605400,0.83,1,0
06055200302,1.33,1,0
06017031504,0.17,3,0
06043000102,2.66,1,0
06089012400,1.33,1,0
06021010502,0.5,1,0
06087122400,0.17,1,0
06033001100,1.16,1,0
06095252706,6.66,1,0
06017031406,5.5,1,0
06089012603,0,2,0
06087122400,0,1,0
06095252310,2.66,1,0
06041101200,1.16,2,0
06055201700,3.33,4,0
06007001400,0.66,1,0
06009000220,1.66,4,0
06097154100,5.33,9,0
06043000101,1.5,3,0
06053011000,0.83,2,0
06017031402,5.99,1,0
06063000400,0.17,54,0
06101051100,2.83,1,0
06009000220,1.33,4,0
06021010200,2.67,1,0
06079011704,1.66,53,0
06033001100,6.83,17,0
06095252702,2.5,5,0
06081605000,4.67,36,0
06097151800,7,11,0
06081612000,2.67,1,0
06019002200,3.67,11,0
06103001100,3.33,1,0
06057000105,3.83,10,0
06103000800,2.5,6,0
06079010016,2.83,10,0
06013338302,1.67,1,0
06097152600,11.16,7,0
06039000108,0.83,2,0
06029000909,5.33,7,0
06001450200,0.17,1,0
06075021500,7.67,78,1
06001409600,4.67,1,0
06041127000,0.17,6,0
06097150500,11.67,1,0
06013367200,5.83,13,0
06063000400,6.83,26,0
06001438204,3.67,1,0
06001450601,3.83,4,0
06001450200,6,117.5,1
06017031406,6.16,1,0
06087122400,1.16,3,0
06029000800,2.16,8,0
06075021200,4.33,53,0
06075021200,4.33,20,0
06085502400,7,27,0
06115041000,3.67,1,0
06001402400,14,13,0
06055200803,10,2,0
06097152801,4.83,15,0
06087122002,2.83,1,0
06005000401,4,4,0
06029000800,2.83,4,0
06055200301,3.34,14,0
06079010300,2.33,1,0
06043000200,3.83,2,0
06077000600,3.16,1,0
06097154302,2,12,0
06109005100,3.34,2,0
06039000503,0.17,45,0
06077005131,2.17,1,0
06013302010,4.17,114.5,1
06055201602,1.5,1,0
06079010016,3.5,1,0
06081603100,9,29,0
06103000100,4.66,1,0
06023000300,6.5,75,1
06001444602,1.67,1,0
06047000901,0.5,1,0
06041115000,1.17,1,0
06057000502,1,1,0
06017030701,5.5,1,0
06097151000,2.83,1,0
06097153704,3.66,19,0
06017031504,0.33,3,0
06055201700,2.49,1,0
06033001300,3.33,2,0
06019005503,0,9,0
06041112100,1.34,27,0
06013353001,12.17,1,0
06089012603,0.33,1,0
06077002800,11.16,160,1
06083003102,6.33,23,0
06019006403,0.33,1,0
06001404400,12.17,7,0
06017030901,0,1,0
06085502302,1.66,1,0
06013348000,1.34,3,0
06081613200,7.67,1,0
06047001301,0.5,1,0
06001441503,0.17,22,0
06043000200,3.33,120.5,1
06019001600,0.33,17,0
06013355112,3.17,1,0
06081602300,5.17,1,0
06087110501,1.5,14,0
06053012000,5,4.5,0
06013355301,1.17,1,0
06001430600,2.17,1,0
06085512402,3.17,2,0
06085511907,2.84,1,0
06013348000,2.33,3,0
06109003100,2.17,1,0
06053010606,1.5,1,0
06013355304,2.67,27,0
06089012603,2.5,1,0
06099000203,11.16,13,0
06061020300,3.16,1,0
06101050900,3.33,1,0
06017030804,1.33,1,0
06001405600,1.33,36,0
06019006402,0.67,3,0
06061021604,2.67,1,0
06089012603,0.33,2,0
06085511911,3.17,1,0
06087120600,0.16,1,0
06089012603,0.16,1,0
06081613900,5.67,1,0
06053012402,2.33,1,0
06075015400,0.51,92,1
06029000903,6,7.5,0
06041107000,6.33,20,0
06089012603,0.16,1,0
06019007700,2.5,1,0
06085507500,1.33,1,0
06089012603,0.33,1,0
06085508303,0.5,1,0
06013303103,0.84,1,0
06019007600,1.34,1,0
06077003500,1,4,0
06087120700,1.83,4,0
06085503121,2.17,1,0
06079012702,3.83,2,0
06079012702,0,1,0
06013370000,2.34,1,0
06085509302,2.34,1,0
06047000303,4.83,1,0
06001405600,0.34,84,1
06085502910,3.67,1,0
06041133000,9.49,3,0
06009000503,3.83,3,0
06045011002,1.16,1,0
06085506402,0.33,1,0
06019006404,0.83,2,0
06019001900,0.83,1,0
06001400600,1,1,0
06081607200,5.49,104,1
06023000500,1.16,1,0
06013337300,0.83,1,0
06095251100,0.83,1,0
06095251902,4.83,1,0
06079011704,1.83,70,1
06019006403,0.17,1,0
06017031504,0.5,1,0
06019006404,0.67,1,0
06001444100,1.66,1,0
06017030602,3.16,1,0
06013303103,1.16,4,0
06001405600,0.5,1,0
06087120600,2.99,20,0
06081602700,2.5,1,0
06017031504,0.33,2,0
06001407600,1.67,1,0
06001444601,0.33,1,0
06029003000,1.16,1,0
06029000903,4.83,21,0
06063000502,0.5,1,0
06039000104,1,1,0
06081602900,2.67,1,0
06087120600,1.5,2,0
06029004301,1.5,1,0
06019007002,1,1,0
06013334001,0.17,1,0
06047000303,3.5,1,0
06017030804,9.5,21,0
06081605700,1.33,1,0
06057000104,1,1,0
06017031504,0.33,1,0
06085507302,3,1,0
06001408700,1,1,0
06087122002,1.83,1,0
06085504422,1.5,1,0
06021010200,0.16,1,0
06017031405,3.16,1,0
06097153103,0.67,1,0
06087121200,6,1,0
06075061000,1,1,0
06013345111,4.5,14.5,0
06089012603,0.5,1,0
06085504002,3.5,1,0
06041133000,2.17,1,0
06085512047,0.67,1,0
06081605000,0.83,1,0
06081613300,1.17,1,0
06019002400,2.67,1,0
06041133000,0.84,1,0
06089012603,0,1,0
06029001700,1,1,0
06077005131,0.67,11,0
06029005104,0.33,2,0
06057000104,1.17,1,0
06017031301,1.17,1,0
06075031201,1.5,1,0
06089012603,0.33,1,0
06019002000,0.33,1,0
06001442400,6,20,0
06013372000,2.83,1,0
06019006404,0.5,3,0
06007000300,1,1,0
06019006404,0.5,1,0
06007000202,0,1,0
06081609400,6.83,1,0
06019006402,0.83,1,0
06097151309,2.83,1,0
06005000303,2.5,1,0
06099000102,10.68,14.5,0
06007000700,1.33,1,0
06077004002,2.83,1,0
06017031504,0.34,1,0
06109004200,0,1,0
06055200601,1.5,1,0
06095253500,3.33,1,0
06061022013,5,1,0
06017030901,1.17,1,0
06013352102,0.67,1,0
06089012603,2.83,1,0
06075021700,1.16,1,0
06031001500,2.16,1,0
06081603802,7.16,1,0
06085510002,1.16,1,0
06023010700,1.83,1,0
06085512305,2.17,1.5,0
06007003002,7.67,1421.5,1
06079011704,1.33,70,1
06005000303,3.17,1,0
06029003000,0.33,1,0
06085502909,1.16,1,0
06055200803,5.17,1,0
06081608501,2.33,1,0
06013353002,1.5,1,0
06013323000,0,1,0
06041128200,1.17,1,0
06007003001,0.67,1,0
06061022013,3.83,1,0
06085501800,3.34,1,0
06097153002,0.17,1,0
06085503334,15.16,118.5,1
06109003100,1.5,1,0
06029000903,0.67,9,0
06089012601,4.83,7,0
06033000502,2,1,0
06089012603,0.33,1,0
06019006402,0.67,2,0
06081609100,6.5,1,0
06017031504,0,2,0
06013347000,1.67,1,0
06053013200,5.67,1,0
06085508508,4.67,1,0
06097150204,1.5,1,0
06041110100,0.66,1,0
06019006402,0.5,1,0
06013369002,0.67,1,0
06001436401,6.17,1,0
06057000104,0,1,0
06085502910,4,32,0
06053012402,1.33,15,0
06053011304,2.33,8,0
06113011300,1.17,1,0
06055200601,0.5,1,0
06053012402,3.17,56,0
06001437300,2,1,0
06083002306,1.67,1,0
06001405902,1.67,1,0
06075032901,0.33,1,0
06029002600,0.5,1,0
06045010801,0.83,1,0
06075026301,0.33,1,0
06075061500,4.83,1,0
06047000505,1.17,1,0
06103000900,1.17,1,0
06077000100,0.84,1,0
06029001300,1.34,1,0
06029003121,0.67,1,0
06045010600,1.5,1,0
